universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,056080,유진로봇,64.7,신규 돌파,,,12950.0,12439.83,-15.08,4.1,11.61,0.0,,2026-09-18,1,N,1.8,0.0,2.45,-16.9,12.7,-18.4,22.9,-1692078425,1265293325,-1844007650,2290578220
KOSDAQ150,039200,오스코텍,63.2,신규 돌파 유지,,,36250.0,34329.17,-3.64,5.6,4.99,-2.29,,2026-09-15,4,Y,0.97,0.0,-2.16,-7.5,2.7,-16.7,10.3,-754473775,265571300,-1674746600,1032277200
KOSPI200,373220,LG에너지솔루션,63.1,돌파 후 눌림목,,매도압력 확인,355500.0,347533.33,-4.02,2.29,-3.2,-4.18,,,,Y,0.87,0.0,-2.2,-47.0,-278.5,14.6,-276.0,-4696744000,-27853337500,1458424000,-27601382000
KOSDAQ150,058470,리노공업,62.7,신규 돌파,,,70400.0,69401.67,-11.54,1.44,7.49,0.0,2026-09-21,2026-09-21,0,N,0.7,0.0,1.15,-9.2,-57.1,19.5,-26.0,-919891650,-5706860000,1950847300,-2598304900
KOSPI200,021240,코웨이,62.6,돌파 후 눌림목,,매도압력 확인,101100.0,95555.0,3.41,5.8,-7.83,-6.73,,,,Y,1.36,0.0,-0.39,-0.7,1.3,-52.8,50.6,-68663750,132656150,-5283734800,5064083200
KOSPI200,086790,하나금융지주,62.4,돌파 후 눌림목,,추가 확인,135700.0,130228.33,4.41,4.2,-2.02,-3.35,,,,Y,0.91,0.0,1.5,-55.5,141.4,-283.8,196.5,-5546993350,14143215600,-28381200650,19647232800
KOSDAQ150,025900,동화기업,62.3,돌파 후 눌림목,,매도압력 확인,6790.0,6619.83,-3.03,2.57,-2.78,-11.93,,,,Y,0.39,0.0,-2.16,-0.5,-0.2,-1.1,-0.2,-52656430,-17602870,-112918000,-20933740
KOSPI200,000660,SK하이닉스,61.7,신규 돌파,,,1879000.0,1816516.67,-10.68,3.44,8.93,0.0,,2026-09-18,1,N,0.98,0.0,1.62,-6713.1,1809.5,6694.6,4746.5,-671313692500,180949294500,669456559000,474653498500
KOSPI200,003550,LG,61.1,돌파 후 눌림목,,추가 확인,112100.0,107143.33,-0.27,4.63,-1.59,-5.88,,,,Y,0.72,0.0,0.0,-37.3,33.1,-46.8,45.1,-3726031900,3305539650,-4679385500,4507589900
KOSPI200,272210,한화시스템,60,신규 돌파 유지,,,77200.0,70581.67,-9.23,9.38,11.92,-3.38,,2026-09-17,2,Y,2.07,0.0,-3.38,-402.8,88.9,-495.0,286.5,-40282703050,8888826050,-49498722550,28654918700
KOSPI200,000150,두산,60,신규 돌파 유지,,,1445000.0,1251616.67,-10.42,15.45,5.28,-0.28,,2026-09-15,4,Y,1.49,0.0,-0.28,-300.7,43.2,-795.2,229.0,-30074894500,4317482500,-79518754500,22896520500
KOSDAQ150,417200,LS머트리얼즈,60,신규 돌파 유지,,,13830.0,11965.0,-13.97,15.59,9.85,0.0,,2026-09-15,4,Y,2.79,0.0,0.73,-24.8,22.6,-79.5,48.9,-2475239595,2257122005,-7950648085,4885658290
KOSDAQ150,032500,케이엠더블유,60,신규 돌파 유지,,,19380.0,15969.17,-20.05,21.36,8.32,-1.37,,2026-09-15,4,Y,1.97,0.0,-1.37,-33.8,0.9,-12.4,2.0,-3378648145,93513035,-1236348300,195431870
KOSDAQ150,218410,RFHIC,60,신규 돌파 유지,,,60600.0,49890.83,-15.98,21.47,17.83,-1.14,,2026-09-16,3,Y,1.9,0.0,-1.14,-264.3,3.4,-261.5,87.2,-26429184450,344911900,-26145052950,8720825100
KOSDAQ150,074600,원익QnC,59.6,신규 돌파,,,29150.0,27996.67,-9.55,4.12,9.4,0.0,,2026-09-18,1,N,1.07,0.0,3.55,4.1,-6.2,7.0,-2.7,413276675,-619069025,702685100,-265157575
KOSDAQ150,090360,로보스타,59.2,신규 돌파 유지,,,78500.0,74571.67,-12.82,5.27,2.12,-3.09,,2026-09-15,4,Y,0.94,0.0,-0.25,-3.8,-17.0,6.8,-32.9,-378017050,-1697611900,684476750,-3287865000
KOSPI200,006260,LS,58.6,신규 돌파,,,326500.0,312566.67,-9.43,4.46,7.96,-1.06,,2026-09-18,1,N,0.95,0.0,0.77,-46.1,28.8,-130.9,83.4,-4607832000,2876108250,-13088793250,8342118000
KOSPI200,066970,엘앤에프,57.8,돌파 후 눌림목,,추가 확인,108800.0,102903.33,-4.48,5.73,-3.18,-14.33,,,,Y,0.61,0.0,-1.54,71.5,-164.0,-38.9,-213.8,7145835300,-16402926550,-3893434100,-21382232750
KOSDAQ150,078600,대주전자재료,57.6,신규 돌파 유지,,,89100.0,84221.67,-11.68,5.79,3.11,0.0,,2026-09-15,4,Y,0.79,0.0,1.25,-32.1,-9.0,-25.2,-12.7,-3212715150,-898997900,-2523294950,-1266921650
KOSPI200,003490,대한항공,56.7,돌파 후 눌림목,,추가 확인,29050.0,27376.67,2.92,6.11,-1.08,-3.49,,,,Y,0.55,0.0,-0.34,-39.7,20.7,-31.0,10.2,-3968798600,2073373650,-3098064750,1017690175
