period_type,universe,investor,code,name,sell_volume,buy_volume,net_volume,sell_value,buy_value,net_value,source
weekly,KOSPI200,foreign,034020,두산에너빌리티,674173,186440,-487733,57686100400,15929074550,-41757025850,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,005380,현대차,238176,94950,-143226,85760900250,34152678250,-51608222000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000660,SK하이닉스,1234495,875356,-359139,2308893906199,1637580213699,-671313692500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,005930,삼성전자,6386877,10573491,4186614,1737846015500,2875950862750,1138104847250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,000660,SK하이닉스,646383,742476,96093,1208027357000,1388976651500,180949294500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,009150,삼성전기,115616,206240,90624,163953863000,293162619500,129208756500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,402340,SK스퀘어,119103,152369,33266,133188402500,170903454000,37715051500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,105560,KB금융,162580,304785,142205,28782562600,54012156150,25229593550,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,007660,이수페타시스,120431,300692,180261,13126699850,32856346050,19729646200,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,079550,LIG디펜스앤에어로스페이스,35356,59877,24521,26326945500,44646361500,18319416000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,012450,한화에어로스페이스,23421,40513,17092,25344872500,43633293500,18288421000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,institution,028260,삼성물산,58098,101835,43737,21224782000,37230647500,16005865500,KRX MDCSTAT02401_OUT
